BASE_YEAR,BASE_MONTH,GU_DC,PC20_CNT,PC40_CNT,PC60_CNT,PC61_CNT
2016,12,사상구,65677,116555,10106,2770
2016,12,사하구,85081,162716,16862,5649
2016,12,서구,29302,47993,4576,1796
2016,12,수영구,44845,86032,10615,5268
2016,12,연제구,49310,94379,12581,5937
2016,12,영도구,34320,55841,4616,1393
2016,12,중구,12855,20906,1526,392
2016,12,해운대구,96374,190885,31226,21001
2017,3,강서구,16331,43536,7327,3419
2017,3,금정구,68759,111954,14498,7495
2017,3,기장군,27231,62053,9515,4008
2017,3,남구,72267,118286,14283,6306
2017,3,동구,25577,39337,3206,921
2017,3,동래구,65057,125975,17639,8688
2017,3,부산진구,97693,176862,20324,7937
2017,3,북구,74800,142189,18774,7406
2017,3,사상구,65730,116629,10414,2801
2017,3,사하구,85152,163688,17653,5869
2017,3,서구,29394,48238,4752,1824
2017,3,수영구,44869,86790,11016,5373
2017,3,연제구,49274,94652,12855,6260
2017,3,영도구,34387,55946,4758,1399
2017,3,중구,12972,21098,1551,407
2017,3,해운대구,96067,191064,31771,21308
2017,6,강서구,16391,44409,7596,3542
2017,6,금정구,68894,112112,14606,7583
2017,6,기장군,27292,62688,9755,4169
2017,6,남구,72621,118345,14503,6444
2017,6,동구,25660,39428,3288,940
2017,6,동래구,64662,126278,17806,9018
2017,6,부산진구,97786,177125,20650,8103
2017,6,북구,74812,142452,18918,7502
2017,6,사상구,65611,116495,10498,2889
2017,6,사하구,84904,164191,17842,5955
2017,6,서구,29402,48430,4844,1815
2017,6,수영구,44734,87063,11077,5483
2017,6,연제구,49077,94757,13057,6356
2017,6,영도구,34466,55876,4832,1434
2017,6,중구,13119,21051,1559,404
2017,6,해운대구,95566,191263,31770,21670
2017,9,강서구,16097,43828,7635,3656
2017,9,금정구,69120,112098,14550,7721
2017,9,기장군,27721,63222,9850,4257
2017,9,남구,73093,118071,14408,6695
2017,9,동구,25677,39534,3292,991
2017,9,동래구,64650,126011,17904,9209
2017,9,부산진구,97942,176831,20715,8483
2017,9,북구,74669,142072,18628,7791
2017,9,사상구,65585,116484,10553,2975
2017,9,사하구,85061,164297,17844,6141
2017,9,서구,29469,48616,4855,1864
2017,9,수영구,44781,87210,11054,5608
2017,9,연제구,48685,93887,12824,6487
2017,9,영도구,33693,54479,4740,1457
2017,9,중구,13277,21089,1564,429
2017,9,해운대구,95412,191351,31495,22086
