BASE_YEAR,BASE_MONTH,MANAGE_CODE_NAME,CLASS_NO_NAME,AGE_DC,VALUE
2019,1,구포도서관,총류,80,3
2019,1,금곡도서관,기술과학,10,22
2019,1,금곡도서관,기술과학,20,20
2019,1,금곡도서관,기술과학,30,11
2019,1,금곡도서관,기술과학,40,71
2019,1,금곡도서관,기술과학,50,54
2019,1,금곡도서관,기술과학,60,26
2019,1,금곡도서관,기술과학,70,8
2019,1,금곡도서관,기술과학,80,11
2019,1,금곡도서관,문학,10,316
2019,1,금곡도서관,문학,20,391
2019,1,금곡도서관,문학,30,127
2019,1,금곡도서관,문학,40,477
2019,1,금곡도서관,문학,50,507
2019,1,금곡도서관,문학,60,247
2019,1,금곡도서관,문학,70,185
2019,1,금곡도서관,문학,80,78
2019,1,금곡도서관,문학,90,4
2019,1,금곡도서관,사회과학,10,60
2019,1,금곡도서관,사회과학,20,96
2019,1,금곡도서관,사회과학,30,72
2019,1,금곡도서관,사회과학,40,141
2019,1,금곡도서관,사회과학,50,128
2019,1,금곡도서관,사회과학,60,59
2019,1,금곡도서관,사회과학,70,21
2019,1,금곡도서관,사회과학,80,10
2019,1,금곡도서관,언어,10,59
2019,1,금곡도서관,언어,20,26
2019,1,금곡도서관,언어,30,27
2019,1,금곡도서관,언어,40,37
2019,1,금곡도서관,언어,50,53
2019,1,금곡도서관,언어,60,11
2019,1,금곡도서관,언어,70,7
2019,1,금곡도서관,역사,10,39
2019,1,금곡도서관,역사,20,78
2019,1,금곡도서관,역사,30,25
2019,1,금곡도서관,역사,40,84
2019,1,금곡도서관,역사,50,107
2019,1,금곡도서관,역사,60,18
2019,1,금곡도서관,역사,70,15
2019,1,금곡도서관,예술,10,11
2019,1,금곡도서관,예술,20,12
2019,1,금곡도서관,예술,30,8
2019,1,금곡도서관,예술,40,22
2019,1,금곡도서관,예술,50,31
2019,1,금곡도서관,예술,60,13
2019,1,금곡도서관,예술,70,3
2019,1,금곡도서관,예술,80,2
2019,1,금곡도서관,자연과학,10,115
2019,1,금곡도서관,자연과학,20,146
2019,1,금곡도서관,자연과학,30,11
2019,1,금곡도서관,자연과학,40,133
2019,1,금곡도서관,자연과학,50,115
2019,1,금곡도서관,자연과학,60,12
2019,1,금곡도서관,자연과학,70,9
2019,1,금곡도서관,자연과학,80,19
2019,1,금곡도서관,종교,10,16
2019,1,금곡도서관,종교,20,25
2019,1,금곡도서관,종교,30,11
2019,1,금곡도서관,종교,40,7
2019,1,금곡도서관,종교,50,42
