BASE_YEAR,BASE_MONTH,GU_DC,WORKTIME_DC,MV_CNT
2016,10,사상구,퇴근,21267
2016,10,사하구,출근,18649
2016,10,사하구,퇴근,18078
2016,10,서구,출근,8249
2016,10,서구,퇴근,7576
2016,10,수영구,출근,13569
2016,10,수영구,퇴근,16251
2016,10,연제구,출근,14645
2016,10,연제구,퇴근,16614
2016,10,영도구,출근,8958
2016,10,영도구,퇴근,7973
2016,10,중구,출근,10401
2016,10,중구,퇴근,12713
2016,10,해운대구,출근,19446
2016,10,해운대구,퇴근,22566
2016,11,강서구,출근,29907
2016,11,강서구,퇴근,19920
2016,11,금정구,출근,11723
2016,11,금정구,퇴근,12575
2016,11,기장군,출근,29139
2016,11,기장군,퇴근,26313
2016,11,남구,출근,12066
2016,11,남구,퇴근,13007
2016,11,동구,출근,7256
2016,11,동구,퇴근,7418
2016,11,동래구,출근,18475
2016,11,동래구,퇴근,20565
2016,11,부산진구,출근,14951
2016,11,부산진구,퇴근,18082
2016,11,북구,출근,16081
2016,11,북구,퇴근,17883
2016,11,사상구,출근,22845
2016,11,사상구,퇴근,21494
2016,11,사하구,출근,19076
2016,11,사하구,퇴근,18182
2016,11,서구,출근,8555
2016,11,서구,퇴근,7685
2016,11,수영구,출근,13837
2016,11,수영구,퇴근,16073
2016,11,연제구,출근,15027
2016,11,연제구,퇴근,16750
2016,11,영도구,출근,9027
2016,11,영도구,퇴근,7935
2016,11,중구,출근,10893
2016,11,중구,퇴근,12887
2016,11,해운대구,출근,19907
2016,11,해운대구,퇴근,22623
2016,12,강서구,출근,30903
2016,12,강서구,퇴근,20698
2016,12,금정구,출근,11187
2016,12,금정구,퇴근,12112
2016,12,기장군,출근,28870
2016,12,기장군,퇴근,26429
2016,12,남구,출근,11809
2016,12,남구,퇴근,12842
2016,12,동구,출근,7481
2016,12,동구,퇴근,7416
2016,12,동래구,출근,18555
2016,12,동래구,퇴근,20925
2016,12,부산진구,출근,15103
2016,12,부산진구,퇴근,19082
2016,12,북구,출근,15845
2016,12,북구,퇴근,17916
2016,12,사상구,출근,23156
2016,12,사상구,퇴근,21790
2016,12,사하구,출근,17862
2016,12,사하구,퇴근,17123
2016,12,서구,출근,9642
2016,12,서구,퇴근,8658
2016,12,수영구,출근,14295
2016,12,수영구,퇴근,16724
2016,12,연제구,출근,15195
2016,12,연제구,퇴근,16939
2016,12,영도구,출근,8347
2016,12,영도구,퇴근,7520
2016,12,중구,출근,7644
2016,12,중구,퇴근,11834
2016,12,해운대구,출근,17891
2016,12,해운대구,퇴근,20676
2017,1,강서구,출근,31215
2017,1,강서구,퇴근,25062
2017,1,금정구,출근,16157
2017,1,금정구,퇴근,15967
2017,1,기장군,출근,38614
2017,1,기장군,퇴근,35281
2017,1,남구,출근,17185
2017,1,남구,퇴근,17342
2017,1,동구,출근,6125
2017,1,동구,퇴근,5994
2017,1,동래구,출근,24306
2017,1,동래구,퇴근,25694
2017,1,부산진구,출근,19290
2017,1,부산진구,퇴근,21443
2017,1,북구,출근,17126
2017,1,북구,퇴근,19110
2017,1,사상구,출근,16999
2017,1,사상구,퇴근,16033
2017,1,사하구,출근,15439
2017,1,사하구,퇴근,15212
2017,1,서구,출근,8267
2017,1,서구,퇴근,8099
2017,1,수영구,출근,18119
2017,1,수영구,퇴근,18669
2017,1,연제구,출근,21038
2017,1,연제구,퇴근,21456
2017,1,영도구,출근,8983
2017,1,영도구,퇴근,8400
2017,1,중구,출근,10115
2017,1,중구,퇴근,12044
2017,1,해운대구,출근,18649
2017,1,해운대구,퇴근,18925
2017,2,강서구,출근,39516
2017,2,강서구,퇴근,32543
2017,2,금정구,출근,13816
2017,2,금정구,퇴근,14204
2017,2,기장군,출근,31885
2017,2,기장군,퇴근,31142
2017,2,남구,출근,13846
2017,2,남구,퇴근,13813
2017,2,동구,출근,6426
2017,2,동구,퇴근,6131
2017,2,동래구,출근,19995
2017,2,동래구,퇴근,21453
2017,2,부산진구,출근,18986
2017,2,부산진구,퇴근,21343
2017,2,북구,출근,19221
2017,2,북구,퇴근,20904
2017,2,사상구,출근,20338
2017,2,사상구,퇴근,19523
2017,2,사하구,출근,18742
2017,2,사하구,퇴근,18248
2017,2,서구,출근,7029
2017,2,서구,퇴근,6433
2017,2,수영구,출근,18612
2017,2,수영구,퇴근,19369
2017,2,연제구,출근,17828
2017,2,연제구,퇴근,17871
2017,2,영도구,출근,8081
2017,2,영도구,퇴근,7610
2017,2,중구,출근,10354
2017,2,중구,퇴근,12165
2017,2,해운대구,출근,22959
2017,2,해운대구,퇴근,23628
2017,3,강서구,출근,37368
2017,3,강서구,퇴근,30077
2017,3,금정구,출근,14344
2017,3,금정구,퇴근,14627
2017,3,기장군,출근,30974
2017,3,기장군,퇴근,30365
2017,3,남구,출근,14234
2017,3,남구,퇴근,14165
2017,3,동구,출근,6403
2017,3,동구,퇴근,6015
2017,3,동래구,출근,19584
2017,3,동래구,퇴근,20987
2017,3,부산진구,출근,18899
2017,3,부산진구,퇴근,20797
2017,3,북구,출근,18641
2017,3,북구,퇴근,20343
2017,3,사상구,출근,20378
2017,3,사상구,퇴근,19417
2017,3,사하구,출근,18533
2017,3,사하구,퇴근,18341
2017,3,서구,출근,7000
2017,3,서구,퇴근,6378
2017,3,수영구,출근,18091
2017,3,수영구,퇴근,18749
2017,3,연제구,출근,17745
2017,3,연제구,퇴근,17719
2017,3,영도구,출근,7987
2017,3,영도구,퇴근,7558
2017,3,중구,출근,10125
2017,3,중구,퇴근,11450
2017,3,해운대구,출근,22322
2017,3,해운대구,퇴근,22830
2017,4,강서구,출근,35944
2017,4,강서구,퇴근,29339
2017,4,금정구,출근,14232
2017,4,금정구,퇴근,14441
2017,4,기장군,출근,30567
2017,4,기장군,퇴근,30187
2017,4,남구,출근,13980
2017,4,남구,퇴근,13890
2017,4,동구,출근,6284
2017,4,동구,퇴근,5871
2017,4,동래구,출근,19426
2017,4,동래구,퇴근,20764
2017,4,부산진구,출근,18573
2017,4,부산진구,퇴근,20180
2017,4,북구,출근,18481
2017,4,북구,퇴근,20064
2017,4,사상구,출근,18458
2017,4,사상구,퇴근,17806
2017,4,사하구,출근,18221
2017,4,사하구,퇴근,18082
2017,4,서구,출근,6945
2017,4,서구,퇴근,6344
2017,4,수영구,출근,17924
2017,4,수영구,퇴근,18642
2017,4,연제구,출근,17365
2017,4,연제구,퇴근,17389
2017,4,영도구,출근,7866
2017,4,영도구,퇴근,7458
2017,4,중구,출근,10041
2017,4,중구,퇴근,11285
2017,4,해운대구,출근,22293
2017,4,해운대구,퇴근,22775
2017,5,강서구,출근,37565
2017,5,강서구,퇴근,31084
2017,5,금정구,출근,14401
2017,5,금정구,퇴근,14729
2017,5,기장군,출근,31305
2017,5,기장군,퇴근,31358
2017,5,남구,출근,14243
2017,5,남구,퇴근,14203
2017,5,동구,출근,6398
2017,5,동구,퇴근,6028
2017,5,동래구,출근,19975
2017,5,동래구,퇴근,21404
2017,5,부산진구,출근,18626
